Amostra	X1	X2	X3
1	252,16	250,34	249,70
2	248,34	248,61	250,63
3	249,19	250,02	250,84
4	251,29	249,93	250,24
5	248,16	250,41	251,19
6	250,37	251,98	248,44
7	250,31	248,71	251,13
8	250,27	249,64	249,92
9	250,72	250,80	249,35
10	250,45	249,18	250,04
11	251,76	252,01	251,90
12	249,33	251,21	250,58
13	249,26	247,67	249,99
14	249,41	249,01	249,51
15	249,92	249,07	250,32
16	248,29	249,60	249,15
17	249,59	249,89	248,51
18	248,03	249,11	249,81
19	250,99	251,50	249,92
20	247,62	250,43	250,39
21	250,60	250,54	250,20
22	250,44	251,17	250,01
23	249,35	249,16	250,20
24	248,17	249,94	248,15
25	249,98	251,57	249,79
26	250,10	249,57	249,11
27	248,82	251,01	248,90
28	248,39	248,26	250,57
29	251,43	250,92	250,12
30	248,82	249,28	248,57
