Cálculo dos Limites de Controle para os Gráficos  e s com Tamanho de Amostra Variável										
Amostra	n		s	A3	LIC	LSC	B3	B4	LIC	LSC
1	5	74,01	0,0148	1,427	73,986	74,016	0	2,089	0	0,022
2	3	73,996	0,0046	1,954	73,981	74,021	0	2,568	0	0,026
3	5	74,008	0,0147	1,427	73,986	74,016	0	2,089	0	0,022
4	5	74,003	0,0091	1,427	73,986	74,016	0	2,089	0	0,022
5	5	74,003	0,0122	1,427	73,986	74,016	0	2,089	0	0,022
6	4	73,996	0,0099	1,628	73,984	74,018	0	2,266	0	0,023
7	4	73,999	0,0055	1,628	73,984	74,018	0	2,266	0	0,023
8	5	73,997	0,0123	1,427	73,986	74,016	0	2,089	0	0,022
9	4	74,004	0,0064	1,628	73,984	74,018	0	2,266	0	0,023
10	5	73,998	0,0063	1,427	73,986	74,016	0	2,089	0	0,022
11	5	73,994	0,0029	1,427	73,986	74,016	0	2,089	0	0,022
12	5	74,001	0,0042	1,427	73,986	74,016	0	2,089	0	0,022
13	3	73,994	0,01	1,954	73,981	74,021	0	2,568	0	0,026
14	5	73,99	0,0153	1,427	73,986	74,016	0	2,089	0	0,022
15	3	74,008	0,0087	1,954	73,981	74,021	0	2,568	0	0,026
16	5	73,997	0,0078	1,427	73,986	74,016	0	2,089	0	0,022
17	4	73,999	0,0115	1,628	73,984	74,018	0	2,226	0	0,023
18	5	74,007	0,007	1,427	73,986	74,016	0	2,089	0	0,022
19	5	73,998	0,0085	1,427	73,986	74,016	0	2,089	0	0,022
20	3	74,008	0,0068	1,954	73,981	74,021	0	2,568	0	0,026
21	5	74	0,0122	1,427	73,986	74,016	0	2,089	0	0,022
22	5	74,002	0,0074	1,427	73,986	74,016	0	2,089	0	0,022
23	5	74,002	0,0119	1,427	73,986	74,016	0	2,089	0	0,022
24	5	74,005	0,0087	1,427	73,986	74,016	0	2,089	0	0,022
25	5	73,998	0,0162	1,427	73,986	74,016	0	2,089	0	0,022
