Dados da Impedância Térmica (°C/W × 100) para o Experimento de um Medidor R & R			
Part	Medida	Response	Operador
1	1	37	1
1	2	38	1
1	3	37	1
2	1	42	1
2	2	41	1
2	3	43	1
3	1	30	1
3	2	31	1
3	3	31	1
4	1	42	1
4	2	43	1
4	3	42	1
5	1	28	1
5	2	30	1
5	3	29	1
6	1	42	1
6	2	42	1
6	3	43	1
7	1	25	1
7	2	26	1
7	3	27	1
8	1	40	1
8	2	40	1
8	3	40	1
9	1	25	1
9	2	25	1
9	3	25	1
10	1	35	1
10	2	34	1
10	3	34	1
1	1	41	2
1	2	41	2
1	3	40	2
2	1	42	2
2	2	42	2
2	3	42	2
3	1	31	2
3	2	31	2
3	3	31	2
4	1	43	2
4	2	43	2
4	3	43	2
5	1	29	2
5	2	30	2
5	3	29	2
6	1	45	2
6	2	45	2
6	3	45	2
7	1	28	2
7	2	28	2
7	3	30	2
8	1	43	2
8	2	42	2
8	3	42	2
9	1	27	2
9	2	29	2
9	3	28	2
10	1	35	2
10	2	35	2
10	3	34	2
1	1	41	3
1	2	42	3
1	3	41	3
2	1	43	3
2	2	42	3
2	3	43	3
3	1	29	3
3	2	30	3
3	3	28	3
4	1	42	3
4	2	42	3
4	3	42	3
5	1	31	3
5	2	29	3
5	3	29	3
6	1	44	3
6	2	46	3
6	3	45	3
7	1	29	3
7	2	27	3
7	3	27	3
8	1	43	3
8	2	43	3
8	3	41	3
9	1	26	3
9	2	26	3
9	3	26	3
10	1	35	3
10	2	34	3
10	3	35	3
