temp	quebra	tipo
68,00	0	1
68,20	0	1
68,40	0	1
68,60	0	1
68,80	2	1
69,00	4	1
69,20	6	1
69,40	8	1
69,60	11	1
69,80	14	1
70,00	18	1
70,50	18	1
71,00	19	1
71,70	20	1
73,00	20	1
74,00	21	1
75,00	15	1
76,00	10	1
79,00	20	1
77,00	22	1
76,50	10	1
78,00	23	1
79,00	24	1
80,00	25	1
85,50	25	1
87,00	23	1
83,00	19	1
89,00	24	1
73,50	12	2
79,00	15	2
82,00	12	2
83,00	10	2
85,00	15	2
86,00	13	2
87,00	18	2
88,00	17	2
88,70	8	2
89,10	9	2
89,00	16	2
86,00	18	2
90,00	16	2
91,00	14	2
91,00	14	2
93,00	12	2
91,50	13	2
93,00	12	2
95,00	8	2
96,00	9	2
97,00	13	2
99,00	11	2
98,00	10	2
99,00	12	2
99,00	9	2
