STATE	VIOLENT	PROPERTY	MURDER	RAPE	ROBBERY	ASSAULT	BURGLARY	LARCENY	CARTHEFT
ALABAMA	448	4485	13	30	132	273	1526	2642	316
ALASKA	479	5730	9	62	90	317	1385	3727	617
ARIZONA	650	7519	10	45	193	401	2155	4891	473
ARKANSAS	335	3475	9	26	80	218	1119	2169	187
CALIFORNIA	893	6939	14	58	384	436	2316	3880	742
COLORADO	528	6804	6	52	160	309	2030	4325	448
CONNECTICUT	412	5469	4	21	218	168	1700	3089	678
DELAWARE	474	6301	6	24	137	306	1630	4216	455
FLORIDA	983	7418	14	56	355	556	2506	4434	477
GEORGIA	555	5048	13	44	197	299	1699	2976	372
HAWAII	299	7182	8	34	190	65	1847	4732	612
IDAHO	313	4468	3	22	46	241	1238	2993	236
ILLINOIS	494	4781	10	26	217	239	1242	3039	498
INDIANA	377	4552	8	33	141	194	1313	2807	432
IOWA	200	4546	2	14	54	129	1079	3219	247
KANSAS	389	4989	6	31	113	237	1521	3196	271
KENTUCKY	266	3167	8	19	95	143	1040	1875	250
LOUISIANA	665	4788	15	44	197	407	1523	2888	376
MAINE	193	4174	2	12	30	146	1182	2772	219
MARYLAND	852	5777	9	40	393	410	1698	3629	450
MASSACHUSETTS	601	5477	4	27	235	334	1740	2685	1051
MICHIGAN	639	6036	10	46	244	338	1741	3710	584
MINNESOTA	227	4571	2	23	99	102	1246	3029	295
MISSISSIPPI	341	3075	14	24	81	221	1179	1717	178
MISSOURI	554	4878	11	32	223	287	1668	2795	414
MONTANA	222	4801	4	21	34	163	950	3529	321
NEBRASKA	224	4080	4	23	82	114	915	2921	243
NEVADA	912	7941	20	67	460	364	2906	4356	678
NEW HAMPSHIRE	179	4499	2	17	42	118	1312	2877	309
NEW JERSEY	604	5797	6	30	303	263	1878	3189	729
NEW MEXICO	615	5364	13	43	127	430	1492	3521	350
NEW YORK	1029	5882	12	30	641	344	2061	3064	759
NORTH CAROLINA	455	4185	10	22	82	339	1422	2546	216
NORTH DAKOTA	54	2909	1	9	7	35	488	2242	179
OHIO	498	4933	8	34	223	232	1466	3040	426
OKLAHOMA	419	4633	5	41	104	291	1748	4087	420
OREGON	490	6196	5	41	152	291	1748	4087	360
PENNSYLVANIA	363	3372	6	23	177	156	1038	1915	418
RHODE ISLAND	408	5524	4	17	118	493	1716	2964	843
SOUTH CAROLINA	660	4779	11	37	118	493	1670	2803	306
SOUTH DAKOTA	126	3116	1	12	20	93	692	2255	168
TENNESSEE	458	4039	10	37	180	229	1501	2175	363
TEXAS	550	5592	16	47	208	277	1853	3181	558
UTAH	303	5577	3	27	80	191	1321	3931	323
VERMONT	178	4809	2	29	38	108	1526	2988	294
VIRGINIA	307	4312	8	27	120	151	1202	2882	227
WASHINGTON	464	6450	5	52	135	271	1862	4192	395
WEST VIRGINIA	183	2367	7	15	48	112	738	1429	199
WISCONSIN	182	4616	2	14	70	94	1079	3291	245
WYOMING	392	4593	6	28	44	313	903	3344	345
