diametro	fornecedor
3,20	1
3,20	1
3,20	1
3,20	1
4,30	1
5,60	1
5,40	1
3,50	1
4,90	1
4,10	1
5,00	1
4,10	1
4,90	1
3,50	1
4,30	1
4,40	1
4,20	1
3,20	1
4,50	1
5,70	1
4,60	1
4,60	1
3,20	1
4,60	1
4,70	1
3,50	1
3,90	1
3,90	1
4,70	1
4,10	1
4,00	1
3,50	1
4,00	1
3,50	1
3,20	1
3,60	1
3,70	1
3,20	1
3,20	1
3,90	1
3,80	1
3,20	1
3,60	1
3,20	1
6,00	1
3,20	1
3,80	1
5,00	1
4,00	1
6,20	1
3,50	1
6,00	1
3,20	1
3,20	1
3,60	1
3,20	1
3,20	1
6,70	1
3,20	1
5,10	1
6,60	1
6,60	1
3,70	1
3,70	1
3,40	1
3,70	1
3,60	1
3,80	1
4,10	1
3,70	1
3,70	1
3,60	1
3,20	1
6,00	1
4,00	1
4,60	1
4,50	1
4,40	1
5,20	1
3,60	1
2,30	2
7,00	2
6,50	2
6,00	2
6,40	2
6,40	2
5,70	2
6,10	2
6,30	2
5,90	2
6,70	2
6,90	2
5,80	2
6,40	2
6,00	2
6,50	2
6,20	2
6,00	2
6,10	2
5,80	2
5,80	2
6,30	2
6,30	2
5,70	2
6,00	2
5,80	2
6,00	2
5,70	2
7,00	2
5,70	2
5,90	2
5,70	2
6,00	2
6,00	2
5,80	2
5,90	2
5,90	2
5,80	2
6,20	2
6,30	2
6,00	2
6,90	2
6,40	2
6,20	2
7,60	2
6,70	2
5,90	2
5,60	2
8,00	2
6,60	2
6,10	2
6,50	2
7,00	2
6,30	2
6,20	2
5,60	2
5,70	2
6,20	2
5,90	2
6,20	2
4,88	2
5,30	2
6,00	2
7,00	2
7,00	2
2,30	2
4,30	2
4,30	2
7,00	2
5,80	2
7,20	2
7,00	2
6,40	2
7,20	2
6,80	2
6,50	2
6,90	2
6,80	2
2,40	2
3,20	2
4,20	3
4,60	3
4,80	3
4,00	3
3,80	3
5,60	3
3,50	3
4,20	3
4,30	3
4,10	3
4,50	3
4,10	3
4,90	3
4,50	3
4,30	3
4,40	3
4,20	3
5,20	3
4,50	3
5,70	3
4,60	3
4,60	3
4,30	3
4,60	3
4,70	3
4,80	3
3,90	3
3,90	3
4,70	3
4,10	3
4,00	3
4,60	3
4,00	3
4,30	3
4,20	3
4,80	3
4,00	3
4,70	3
3,80	3
4,20	3
4,30	3
4,70	3
4,00	3
3,90	3
5,10	3
4,90	3
4,50	3
5,00	3
4,60	3
5,90	3
4,60	3
5,30	3
4,50	3
4,50	3
5,80	3
4,60	3
5,20	3
4,70	3
4,80	3
5,10	3
5,30	3
4,80	3
4,00	3
4,90	3
4,70	3
4,60	3
5,20	3
4,60	3
4,60	3
3,70	3
4,60	3
5,20	3
4,50	3
4,70	3
3,80	3
4,60	3
4,50	3
4,40	3
5,20	3
4,50	3
