Part	Operator	Response
1	1	0,65
1	1	0,6
2	1	1
2	1	1
3	1	0,85
3	1	0,8
4	1	0,85
4	1	0,95
5	1	0,55
5	1	0,45
6	1	1
6	1	1
7	1	0,95
7	1	0,95
8	1	0,85
8	1	0,8
9	1	1
9	1	1
10	1	0,6
10	1	0,7
1	2	0,55
1	2	0,55
2	2	1,05
2	2	0,95
3	2	0,8
3	2	0,75
4	2	0,8
4	2	0,75
5	2	0,4
5	2	0,4
6	2	1
6	2	1,05
7	2	0,95
7	2	0,9
8	2	0,75
8	2	0,7
9	2	1
9	2	0,95
10	2	0,55
10	2	0,5
1	3	0,5
1	3	0,55
2	3	1,05
2	3	1
3	3	0,8
3	3	0,8
4	3	0,8
4	3	0,8
5	3	0,45
5	3	0,5
6	3	1
6	3	1,05
7	3	0,95
7	3	0,95
8	3	0,8
8	3	0,8
9	3	1,05
9	3	1,05
10	3	0,85
10	3	0,8
