Data	Mês	Dia	Dias entre
20/01/2000	1	20	
23/02/2000	2	23	34
25/02/2000	2	25	2
05/03/2000	3	5	8
10/03/2000	3	10	5
04/04/2000	4	4	25
07/05/2000	5	7	33
24/05/2000	5	24	17
28/05/2000	5	28	4
07/06/2000	6	7	10
16/06/2000	6	16	9,25
16/06/2000	6	16	0,5
22/06/2000	6	22	5,25
25/06/2000	6	25	3
06/07/2000	7	6	11
08/07/2000	7	8	2
09/07/2000	7	9	1
26/07/2000	7	26	17
09/09/2000	9	9	45
22/09/2000	9	22	13
24/09/2000	9	24	2
01/10/2000	10	1	7
04/10/2000	10	4	3
08/10/2000	10	8	4
19/10/2000	10	19	11
02/11/2000	11	2	14
25/11/2000	11	25	23
28/12/2000	12	28	33
29/12/2000	12	29	1
