Xi1	Xi2	Xi3	Xi4	Xi5
1004,6	997,3	1003	1005,9	995,8
1001,6	1008,6	997,9	1001,3	999,1
999,1	992,6	1001,1	1001,6	1002,9
1007,9	997,5	991,3	997,8	1000,8
999,5	995,6	1004,3	995,6	991,4
1003,3	996,8	997,2	993,6	1000,1
999,7	1012,1	995,2	1001,8	1002,2
1000,1	995,3	990	997,5	1003,2
1004,3	1001,4	1001,6	999,1	996,4
999	995,8	989,9	995,1	1002,8
1003,2	1004,4	993,5	994,6	997,6
996,2	1017,3	993,6	996,5	1003,7
1014	1008,9	1004,1	1007,9	1000,7
1002,2	996,6	1002,7	1004,2	1001,8
998,3	997,5	1006,1	996,5	998,1
995,8	1000,8	999,1	1002,5	1001
1004,1	1003	1004,8	997,9	999,9
1000,1	994,9	1000,1	1004,9	997,3
1000,2	996,1	998	1006,1	999,4
1002,3	999	1000,8	1000,7	998
998,3	998,1	1004,2	1002,1	991,3
997,1	1000,7	999,8	1000,6	1001,7
1003,6	996,1	1001,4	998	991,8
999,9	1006,4	1005,1	999,8	1003
1007,3	999,8	992,5	996,2	998,2
