Peca	Medida	Valor	Operador
1	1	21	1
1	2	20	1
2	1	24	1
2	2	23	1
3	1	20	1
3	2	21	1
4	1	27	1
4	2	27	1
5	1	19	1
5	2	18	1
6	1	23	1
6	2	21	1
7	1	22	1
7	2	21	1
8	1	19	1
8	2	17	1
9	1	24	1
9	2	23	1
10	1	25	1
10	2	23	1
11	1	21	1
11	2	20	1
12	1	18	1
12	2	19	1
13	1	23	1
13	2	25	1
14	1	24	1
14	2	24	1
15	1	29	1
15	2	30	1
16	1	26	1
16	2	26	1
17	1	20	1
17	2	20	1
18	1	19	1
18	2	21	1
19	1	25	1
19	2	26	1
20	1	19	1
20	2	19	1
1	1	20	2
1	2	20	2
2	1	24	2
2	2	24	2
3	1	19	2
3	2	21	2
4	1	28	2
4	2	26	2
5	1	19	2
5	2	18	2
6	1	24	2
6	2	21	2
7	1	22	2
7	2	24	2
8	1	18	2
8	2	20	2
9	1	25	2
9	2	23	2
10	1	26	2
10	2	25	2
11	1	20	2
11	2	20	2
12	1	17	2
12	2	19	2
13	1	25	2
13	2	25	2
14	1	23	2
14	2	25	2
15	1	30	2
15	2	28	2
16	1	25	2
16	2	26	2
17	1	19	2
17	2	20	2
18	1	19	2
18	2	19	2
19	1	25	2
19	2	24	2
20	1	18	2
20	2	17	2
1	1	19	3
1	2	21	3
2	1	23	3
2	2	24	3
3	1	20	3
3	2	22	3
4	1	27	3
4	2	28	3
5	1	18	3
5	2	21	3
6	1	23	3
6	2	22	3
7	1	22	3
7	2	20	3
8	1	19	3
8	2	18	3
9	1	24	3
9	2	24	3
10	1	24	3
10	2	25	3
11	1	21	3
11	2	20	3
12	1	18	3
12	2	19	3
13	1	25	3
13	2	25	3
14	1	24	3
14	2	25	3
15	1	21	3
15	2	20	3
16	1	25	3
16	2	27	3
17	1	20	3
17	2	20	3
18	1	21	3
18	2	23	3
19	1	25	3
19	2	25	3
20	1	19	3
20	2	17	3
