peca	leitura	medida	operador
1	19,982	1	1
1	19,981	2	1
2	19,994	1	1
2	19,993	2	1
3	20,223	1	1
3	20,221	2	1
4	20,226	1	1
4	20,226	2	1
5	20,025	1	1
5	19,994	2	1
6	20,234	1	1
6	20,233	2	1
7	20,043	1	1
7	20,043	2	1
8	20,050	1	1
8	20,049	2	1
9	20,015	1	1
9	20,017	2	1
10	19,980	1	1
10	19,980	2	1
1	19,981	1	2
1	19,981	2	2
2	20,001	1	2
2	19,997	2	2
3	20,219	1	2
3	20,221	2	2
4	20,222	1	2
4	20,226	2	2
5	20,035	1	2
5	20,033	2	2
6	20,234	1	2
6	20,234	2	2
7	20,054	1	2
7	20,051	2	2
8	20,052	1	2
8	20,051	2	2
9	20,018	1	2
9	20,017	2	2
10	19,980	1	2
10	19,980	2	2
1	19,981	1	3
1	19,976	2	3
2	19,996	1	3
2	19,981	2	3
3	20,223	1	3
3	20,222	2	3
4	20,223	1	3
4	20,224	2	3
5	20,028	1	3
5	20,025	2	3
6	20,233	1	3
6	20,227	2	3
7	20,037	1	3
7	20,035	2	3
8	20,032	1	3
8	20,032	2	3
9	19,985	1	3
9	19,979	2	3
10	19,994	1	3
10	19,980	2	3
