amostra	diametro
1	74,03
1	74,002
1	74,019
1	73,992
1	74,008
2	73,995
2	73,992
2	74,001
2	74,011
2	74,004
3	73,988
3	74,024
3	74,021
3	74,005
3	74,002
4	74,002
4	73,996
4	73,993
4	74,015
4	74,009
5	73,992
5	74,007
5	74,015
5	73,989
5	74,014
6	74,009
6	73,994
6	73,997
6	73,985
6	73,993
7	73,995
7	74,006
7	73,994
7	74
7	74,005
8	73,985
8	74,003
8	73,993
8	74,015
8	73,988
9	74,008
9	73,995
9	74,009
9	74,005
9	74,004
10	73,998
10	74
10	73,99
10	74,007
10	73,995
11	73,994
11	73,998
11	73,994
11	73,995
11	73,99
12	74,004
12	74
12	74,007
12	74
12	73,996
13	73,983
13	74,002
13	73,998
13	73,997
13	74,012
14	74,006
14	73,967
14	73,994
14	74
14	73,984
15	74,012
15	74,014
15	73,998
15	73,999
15	74,007
16	74
16	73,984
16	74,005
16	73,998
16	73,996
17	73,994
17	74,012
17	73,986
17	74,005
17	74,007
18	74,006
18	74,01
18	74,018
18	74,003
18	74
19	73,984
19	74,002
19	74,003
19	74,005
19	73,997
20	74
20	74,01
20	74,013
20	74,02
20	74,003
21	73,982
21	74,001
21	74,015
21	74,005
21	73,996
22	74,004
22	73,999
22	73,99
22	74,006
22	74,009
23	74,01
23	73,989
23	73,99
23	74,009
23	74,014
24	74,015
24	74,008
24	73,993
24	74
24	74,01
25	73,982
25	73,984
25	73,995
25	74,017
25	74,013
