amostra	diametro
26	74,012
26	74,015
26	74,03
26	73,986
26	74
27	73,995
27	74,01
27	73,99
27	74,015
27	74,001
28	73,987
28	73,999
28	73,985
28	74
28	73,99
29	74,008
29	74,01
29	74,003
29	73,991
29	74,006
30	74,003
30	74
30	74,001
30	73,986
30	73,997
31	73,994
31	74,003
31	74,015
31	74,02
31	74,004
32	74,008
32	74,002
32	74,018
32	73,995
32	74,005
33	74,001
33	74,004
33	73,99
33	73,996
33	73,998
34	74,015
34	74
34	74,016
34	74,025
34	74
35	74,03
35	74,005
35	74
35	74,016
35	74,012
36	74,001
36	73,99
36	73,995
36	74,01
36	74,024
37	74,015
37	74,02
37	74,024
37	74,005
37	74,019
38	74,035
38	74,01
38	74,012
38	74,015
38	74,026
39	74,017
39	74,013
39	74,036
39	74,025
39	74,026
40	74,01
40	74,005
40	74,029
40	74
40	74,02
